year,month,1s,2s,3s,4s,5-10s,10-20s,20s+
2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,5,9.0,0.0,2.0,0.0,0.0,0.0,0.0
2015,6,7.0,1.0,2.0,0.0,1.0,0.0,0.0
2015,7,7.0,0.0,3.0,0.0,1.0,0.0,0.0
2015,8,10.0,2.0,1.0,1.0,0.0,0.0,0.0
2015,9,13.0,0.0,2.0,0.0,1.0,0.0,0.0
2015,10,11.0,4.0,1.0,0.0,0.0,0.0,0.0
2015,11,11.0,1.0,3.0,0.0,1.0,0.0,0.0
2015,12,16.0,2.0,1.0,0.0,2.0,0.0,0.0
2016,1,20.0,0.0,2.0,1.0,0.0,0.0,0.0
2016,2,19.0,1.0,1.0,2.0,0.0,0.0,0.0
2016,3,19.0,1.0,1.0,1.0,1.0,0.0,0.0
2016,4,21.0,1.0,2.0,0.0,0.0,0.0,0.0
2016,5,21.0,1.0,1.0,0.0,1.0,0.0,0.0
2016,6,21.0,1.0,0.0,1.0,1.0,0.0,0.0
2016,7,28.0,0.0,0.0,0.0,1.0,0.0,0.0
2016,8,25.0,2.0,1.0,0.0,1.0,0.0,0.0
2016,9,26.0,3.0,2.0,1.0,0.0,0.0,0.0
2016,10,26.0,3.0,3.0,0.0,1.0,0.0,0.0
2016,11,27.0,1.0,3.0,1.0,1.0,0.0,0.0
2016,12,28.0,1.0,2.0,1.0,1.0,0.0,0.0
2017,1,27.0,4.0,1.0,0.0,1.0,0.0,0.0
2017,2,27.0,1.0,3.0,0.0,2.0,0.0,0.0
2017,3,29.0,2.0,2.0,0.0,2.0,0.0,0.0
2017,4,30.0,1.0,1.0,2.0,1.0,0.0,0.0
2017,5,33.0,2.0,2.0,0.0,2.0,0.0,0.0
2017,6,33.0,2.0,1.0,1.0,2.0,0.0,0.0
2017,7,34.0,1.0,3.0,1.0,1.0,0.0,0.0
2017,8,32.0,2.0,1.0,1.0,2.0,0.0,0.0
2017,9,32.0,3.0,2.0,0.0,2.0,1.0,0.0
2017,10,39.0,2.0,1.0,0.0,2.0,1.0,0.0
2017,11,41.0,5.0,2.0,0.0,1.0,1.0,0.0
2017,12,44.0,1.0,2.0,2.0,1.0,1.0,0.0
2018,1,45.0,2.0,2.0,1.0,2.0,1.0,0.0
2018,2,54.0,3.0,1.0,1.0,2.0,1.0,0.0
2018,3,55.0,1.0,2.0,1.0,1.0,0.0,1.0
2018,4,56.0,3.0,2.0,0.0,1.0,0.0,1.0
2018,5,57.0,3.0,2.0,0.0,2.0,1.0,0.0
2018,6,58.0,4.0,1.0,2.0,1.0,0.0,1.0
2018,7,60.0,4.0,2.0,0.0,2.0,0.0,1.0
2018,8,63.0,3.0,1.0,2.0,1.0,0.0,1.0
2018,9,62.0,2.0,2.0,1.0,2.0,0.0,1.0
2018,10,63.0,3.0,2.0,1.0,2.0,0.0,1.0
2018,11,64.0,2.0,2.0,1.0,2.0,0.0,1.0
2018,12,65.0,3.0,2.0,1.0,2.0,0.0,1.0
2019,1,79.0,5.0,3.0,0.0,2.0,0.0,1.0
2019,2,90.0,3.0,3.0,0.0,2.0,1.0,0.0
2019,3,91.0,5.0,2.0,0.0,2.0,0.0,1.0
2019,4,90.0,2.0,3.0,2.0,1.0,0.0,1.0
2019,5,93.0,1.0,4.0,1.0,2.0,0.0,1.0
2019,6,89.0,3.0,3.0,3.0,3.0,0.0,1.0
2019,7,89.0,4.0,4.0,4.0,2.0,0.0,1.0
2019,8,89.0,4.0,4.0,1.0,4.0,0.0,1.0
2019,9,98.0,4.0,1.0,3.0,3.0,0.0,1.0
2019,10,100.0,1.0,4.0,4.0,4.0,0.0,1.0
2019,11,96.0,3.0,3.0,3.0,4.0,0.0,1.0
2019,12,93.0,2.0,5.0,4.0,4.0,0.0,1.0
2020,1,97.0,2.0,4.0,4.0,4.0,0.0,1.0
2020,2,101.0,5.0,5.0,4.0,3.0,0.0,1.0
2020,3,102.0,6.0,2.0,5.0,4.0,0.0,1.0
